season,episode,title,object,present
1,S01E01,A WALK IN THE WOODS,apple_frame,0
1,S01E01,A WALK IN THE WOODS,aurora_borealis,0
1,S01E01,A WALK IN THE WOODS,barn,0
1,S01E01,A WALK IN THE WOODS,beach,0
1,S01E01,A WALK IN THE WOODS,boat,0
1,S01E01,A WALK IN THE WOODS,bridge,0
1,S01E01,A WALK IN THE WOODS,building,0
1,S01E01,A WALK IN THE WOODS,bushes,1
1,S01E01,A WALK IN THE WOODS,cabin,0
1,S01E01,A WALK IN THE WOODS,cactus,0
1,S01E01,A WALK IN THE WOODS,circle_frame,0
1,S01E01,A WALK IN THE WOODS,cirrus,0
1,S01E01,A WALK IN THE WOODS,cliff,0
1,S01E01,A WALK IN THE WOODS,clouds,0
1,S01E01,A WALK IN THE WOODS,conifer,0
1,S01E01,A WALK IN THE WOODS,cumulus,0
1,S01E01,A WALK IN THE WOODS,deciduous,1
1,S01E01,A WALK IN THE WOODS,diane_andre,0
1,S01E01,A WALK IN THE WOODS,dock,0
1,S01E01,A WALK IN THE WOODS,double_oval_frame,0
1,S01E01,A WALK IN THE WOODS,farm,0
1,S01E01,A WALK IN THE WOODS,fence,0
1,S01E01,A WALK IN THE WOODS,fire,0
1,S01E01,A WALK IN THE WOODS,florida_frame,0
1,S01E01,A WALK IN THE WOODS,flowers,0
1,S01E01,A WALK IN THE WOODS,fog,0
1,S01E01,A WALK IN THE WOODS,framed,0
1,S01E01,A WALK IN THE WOODS,grass,1
1,S01E01,A WALK IN THE WOODS,guest,0
1,S01E01,A WALK IN THE WOODS,half_circle_frame,0
1,S01E01,A WALK IN THE WOODS,half_oval_frame,0
1,S01E01,A WALK IN THE WOODS,hills,0
1,S01E01,A WALK IN THE WOODS,lake,0
1,S01E01,A WALK IN THE WOODS,lakes,0
1,S01E01,A WALK IN THE WOODS,lighthouse,0
1,S01E01,A WALK IN THE WOODS,mill,0
1,S01E01,A WALK IN THE WOODS,moon,0
1,S01E01,A WALK IN THE WOODS,mountain,0
1,S01E01,A WALK IN THE WOODS,mountains,0
1,S01E01,A WALK IN THE WOODS,night,0
1,S01E01,A WALK IN THE WOODS,ocean,0
1,S01E01,A WALK IN THE WOODS,oval_frame,0
1,S01E01,A WALK IN THE WOODS,palm_trees,0
1,S01E01,A WALK IN THE WOODS,path,0
1,S01E01,A WALK IN THE WOODS,person,0
1,S01E01,A WALK IN THE WOODS,portrait,0
1,S01E01,A WALK IN THE WOODS,rectangle_3d_frame,0
1,S01E01,A WALK IN THE WOODS,rectangular_frame,0
1,S01E01,A WALK IN THE WOODS,river,1
1,S01E01,A WALK IN THE WOODS,rocks,0
1,S01E01,A WALK IN THE WOODS,seashell_frame,0
1,S01E01,A WALK IN THE WOODS,snow,0
1,S01E01,A WALK IN THE WOODS,snowy_mountain,0
1,S01E01,A WALK IN THE WOODS,split_frame,0
1,S01E01,A WALK IN THE WOODS,steve_ross,0
1,S01E01,A WALK IN THE WOODS,structure,0
1,S01E01,A WALK IN THE WOODS,sun,0
1,S01E01,A WALK IN THE WOODS,tomb_frame,0
1,S01E01,A WALK IN THE WOODS,tree,1
1,S01E01,A WALK IN THE WOODS,trees,1
1,S01E01,A WALK IN THE WOODS,triple_frame,0
1,S01E01,A WALK IN THE WOODS,waterfall,0
1,S01E01,A WALK IN THE WOODS,waves,0
1,S01E01,A WALK IN THE WOODS,windmill,0
1,S01E01,A WALK IN THE WOODS,window_frame,0
1,S01E01,A WALK IN THE WOODS,winter,0
1,S01E01,A WALK IN THE WOODS,wood_framed,0
1,S01E02,MT. MCKINLEY,apple_frame,0
1,S01E02,MT. MCKINLEY,aurora_borealis,0
1,S01E02,MT. MCKINLEY,barn,0
1,S01E02,MT. MCKINLEY,beach,0
1,S01E02,MT. MCKINLEY,boat,0
1,S01E02,MT. MCKINLEY,bridge,0
1,S01E02,MT. MCKINLEY,building,0
1,S01E02,MT. MCKINLEY,bushes,0
1,S01E02,MT. MCKINLEY,cabin,1
1,S01E02,MT. MCKINLEY,cactus,0
1,S01E02,MT. MCKINLEY,circle_frame,0
1,S01E02,MT. MCKINLEY,cirrus,0
1,S01E02,MT. MCKINLEY,cliff,0
1,S01E02,MT. MCKINLEY,clouds,1
1,S01E02,MT. MCKINLEY,conifer,1
1,S01E02,MT. MCKINLEY,cumulus,0
1,S01E02,MT. MCKINLEY,deciduous,0
1,S01E02,MT. MCKINLEY,diane_andre,0
1,S01E02,MT. MCKINLEY,dock,0
1,S01E02,MT. MCKINLEY,double_oval_frame,0
1,S01E02,MT. MCKINLEY,farm,0
1,S01E02,MT. MCKINLEY,fence,0
1,S01E02,MT. MCKINLEY,fire,0
1,S01E02,MT. MCKINLEY,florida_frame,0
1,S01E02,MT. MCKINLEY,flowers,0
1,S01E02,MT. MCKINLEY,fog,0
1,S01E02,MT. MCKINLEY,framed,0
1,S01E02,MT. MCKINLEY,grass,0
1,S01E02,MT. MCKINLEY,guest,0
1,S01E02,MT. MCKINLEY,half_circle_frame,0
1,S01E02,MT. MCKINLEY,half_oval_frame,0
1,S01E02,MT. MCKINLEY,hills,0
1,S01E02,MT. MCKINLEY,lake,0
1,S01E02,MT. MCKINLEY,lakes,0
1,S01E02,MT. MCKINLEY,lighthouse,0
1,S01E02,MT. MCKINLEY,mill,0
1,S01E02,MT. MCKINLEY,moon,0
